card_a,card_b,role
Conifer Strider,Gladecover Scout,identical_text
Gladecover Scout,Humongulus,identical_text
Humongulus,Plated Slagwurm,identical_text
Plated Slagwurm,Primal Huntbeast,identical_text
Primal Huntbeast,Rubbleback Rhino,identical_text
Rubbleback Rhino,Sacred Wolf,identical_text
Sacred Wolf,Scaled Behemoth,identical_text
Scaled Behemoth,Slippery Bogle,identical_text
Slippery Bogle,Taoist Hermit,identical_text
Taoist Hermit,The Terror of Serpent's Pass,identical_text
The Terror of Serpent's Pass,Wardscale Crocodile,identical_text
Barbarian General,"Lady Zhurong, Warrior Queen",identical_text
"Lady Zhurong, Warrior Queen","Lu Meng, Wu General",identical_text
"Lu Meng, Wu General",Shu Cavalry,identical_text
Shu Cavalry,Shu Elite Companions,identical_text
Shu Elite Companions,Wei Elite Companions,identical_text
Wei Elite Companions,Wei Scout,identical_text
Wei Scout,Wei Strike Force,identical_text
Wei Strike Force,Wu Elite Cavalry,identical_text
Wu Elite Cavalry,Wu Light Cavalry,identical_text
Yellow Scarves Cavalry,Yellow Scarves General,identical_text
Anointed Procession,Parallel Lives,identical_text
Contagious Nim,Cystbearer,identical_text
Cystbearer,Glistener Elf,identical_text
Glistener Elf,Lost Leonin,identical_text
Lost Leonin,Phyrexian Digester,identical_text
Phyrexian Digester,Scourge Servant,identical_text
Accursed Spirit,Bladetusk Boar,identical_text
Bladetusk Boar,Highborn Ghoul,identical_text
Highborn Ghoul,Krenko's Enforcer,identical_text
Krenko's Enforcer,Spectral Rider,identical_text
Benthic Behemoth,Bull Hippo,identical_text
Bull Hippo,Devouring Deep,identical_text
Devouring Deep,Grayscaled Gharial,identical_text
Grayscaled Gharial,Pale Bears,identical_text
Pale Bears,River Bear,identical_text
River Bear,Rootwater Commando,identical_text
Rootwater Commando,Segovian Leviathan,identical_text
Segovian Leviathan,Zodiac Horse,identical_text
Blink of an Eye,Into the Roil,identical_text
Into the Roil,Whoosh!,identical_text
Final Flourish,Vayne's Treachery,identical_text
Sazh's Chocobo,Vinelasher Kudzu,identical_text
Spitfire Lagac,Tunneling Geopede,identical_text
Fledgling Griffin,Geyser Glider,identical_text
Hedron Scrabbler,Scythe Leopard,identical_text
Scythe Leopard,Snapping Gnarlid,identical_text
Akoum Hellhound,Canopy Baloth,identical_text
Canopy Baloth,Hedron Rover,identical_text
Hedron Rover,Kazandu Mammoth // Kazandu Valley,identical_text
Kazandu Mammoth // Kazandu Valley,Steppe Lynx,identical_text
Steppe Lynx,Territorial Baloth,identical_text
Territorial Baloth,Valakut Predator,identical_text
Eumidian Terrabotanist,Kazandu Nectarpot,identical_text
"Hokori, Dust Drinker",Rising Waters,identical_text
Aardvark Sloth,Ajani's Sunstriker,identical_text
Ajani's Sunstriker,Bishop's Soldier,identical_text
Bishop's Soldier,Blood Glutton,identical_text
Blood Glutton,Caravan Hurda,identical_text
Caravan Hurda,Champion of Arashin,identical_text
Champion of Arashin,Daybreak Chaplain,identical_text
Daybreak Chaplain,Faithbearer Paladin,identical_text
Faithbearer Paladin,Golden-Tail Disciple,identical_text
Golden-Tail Disciple,Markov Patrician,identical_text
Markov Patrician,Mesa Unicorn,identical_text
Mesa Unicorn,Nip Gwyllion,identical_text
Nip Gwyllion,Scrounger of Souls,identical_text
Scrounger of Souls,Trained Caracal,identical_text
Basri's Acolyte,Felidar Savior,identical_text
Omen,Ponder,identical_text
Glimpse the Future,Ransack the Lab,identical_text
Ransack the Lab,Strategic Planning,identical_text
Twins of Maurer Estate,Weirded Vampire,identical_text
Boggart Brute,Conceited Witch // Price of Beauty,identical_text
Conceited Witch // Price of Beauty,Cursed Minotaur,identical_text
Cursed Minotaur,Deranged Whelp,identical_text
Deranged Whelp,Elephant-Rat,identical_text
Elephant-Rat,Goblin Trailblazer,identical_text
Goblin Trailblazer,Kraul Raider,identical_text
Kraul Raider,Ripscale Predator,identical_text
Ripscale Predator,Shatterskull Recruit,identical_text
Shatterskull Recruit,Two-Headed Hunter // Twice the Rage,identical_text
Two-Headed Hunter // Twice the Rage,Two-Headed Zombie,identical_text
Two-Headed Zombie,Viashino Runner,identical_text
Viashino Runner,"Zhao, the Seething Flame",identical_text
Fearful Villager // Fearsome Werewolf,Shady Traveler // Stalking Predator,identical_text
Blade Instructor,Hammer Dropper,identical_text
Ardent Recruit,Carapace Forger,identical_text
Carapace Forger,Chrome Steed,identical_text
Chrome Steed,Ghalma's Warden,identical_text
Ghalma's Warden,Razorfield Rhino,identical_text
Auriok Edgewright,Spiraling Duelist,identical_text
Treespring Lorian,Woolly Loxodon,identical_text
Canyon Wildcat,Cliff Threader,identical_text
Cliff Threader,Dwarven Grunt,identical_text
Dwarven Grunt,Glissa's Courier,identical_text
Glissa's Courier,Goblin Mountaineer,identical_text
Goblin Mountaineer,Goblin Spelunkers,identical_text
Goblin Spelunkers,Hillcomber Giant,identical_text
Hillcomber Giant,Mountain Goat,identical_text
Mountain Goat,Rock Badger,identical_text
Rock Badger,Sokenzan Bruiser,identical_text
Sokenzan Bruiser,Zodiac Dog,identical_text
Zodiac Dog,Zodiac Goat,identical_text
Dokuchi Shadow-Walker,Ninja of the New Moon,identical_text
Dueling Grounds,Silent Arbiter,identical_text
Blood Moon,Magus of the Moon,identical_text
Glowrider,Thorn of Amethyst,identical_text
Stronghold Taskmaster,Urborg Shambler,identical_text
Blessed Orator,Veteran Armorer,identical_text
Benalish Marshal,"Kongming, ""Sleeping Dragon""",identical_text
Legion Lieutenant,Thirsting Bloodlord,identical_text
Gravelgill Axeshark,Putrid Goblin,identical_text
Putrid Goblin,Safehold Elite,identical_text
Righteous Avengers,Zodiac Rooster,identical_text
Future Sight,Magus of the Future,identical_text
Damping Field,Imi Statue,identical_text
Darkness,Fog,identical_text
Fog,Holy Day,identical_text
Holy Day,Root Snare,identical_text
Angelsong,Lull,identical_text
Commencement of Festivities,Defend the Hearth,identical_text
Indestructible Aura,Shielded Passage,identical_text
Champion Lancer,Uncle Istvan,identical_text
Contentious Plan,Steady Progress,identical_text
Nacatl Savage,Tel-Jilad Chosen,identical_text
Tel-Jilad Chosen,Tel-Jilad Outrider,identical_text
Tel-Jilad Outrider,Yavimaya Scion,identical_text
Death Speakers,Llanowar Knight,identical_text
Llanowar Knight,Scalebane's Elite,identical_text
Scalebane's Elite,Valeron Outlander,identical_text
Darkwatch Elves,Disciple of Grace,identical_text
Order of Leitbur,Order of the White Shield,identical_text
Vodalian Zombie,Zombie Outlander,identical_text
Goblin Outlander,Ihsan's Shade,identical_text
Ihsan's Shade,Shivan Zombie,identical_text
Knight of Stromgald,Order of the Ebon Hand,identical_text
Bloodfire Expert,Jeskai Student,identical_text
Jeskai Student,Lightning Visionary,identical_text
Lightning Visionary,Nimble-Blade Khenra,identical_text
Nimble-Blade Khenra,Sanguinary Mage,identical_text
Sanguinary Mage,Umara Entangler,identical_text
Umara Entangler,Vedalken Blademaster,identical_text
Pinnacle Monk // Mystic Peak,Shipwreck Dowser,identical_text
Basri's Solidarity,Inspiring Roar,identical_text
Inspiring Roar,Titania's Boon,identical_text
Growth Curve,Invigorating Surge,identical_text
Dig Site Inventory,Homestead Courage,identical_text
Battlegrowth,Vastwood Fortification // Vastwood Thicket,identical_text
Footbottom Feast,Forever Young,identical_text
Forever Young,Gravepurge,identical_text
Warrant // Warden,Whisk Away,identical_text
False Mourning,Reclaim,identical_text
Reclaim,Salvage,identical_text
Chronostutter,Isolation at Orthanc,identical_text
Excommunicate,Forced Retreat,identical_text
Forced Retreat,Griptide,identical_text
Griptide,Repel,identical_text
Repel,Time Ebb,identical_text
Fallow Earth,Uproot,identical_text
Goblin Boarders,Swaggering Corsair,identical_text
Gorehorn Raider,Mardu Heart-Piercer,identical_text
Mardu Heart-Piercer,Storm Fleet Pyromancer,identical_text
Horrible Hordes,Hunding Gjornersen,identical_text
Hunding Gjornersen,Marhault Elsdragon,identical_text
Frost Giant,Wolverine Pack,identical_text
Alaborn Musketeer,Arachnoid,identical_text
Arachnoid,Canopy Spider,identical_text
Canopy Spider,Cloudcrown Oak,identical_text
Cloudcrown Oak,Feiyi Snake,identical_text
Feiyi Snake,Frog-Squirrels,identical_text
Frog-Squirrels,Giant Mantis,identical_text
Giant Mantis,Giant Spider,identical_text
Giant Spider,Goliath Spider,identical_text
Goliath Spider,Grappler Spider,identical_text
Grappler Spider,Keen-Eyed Archers,identical_text
Keen-Eyed Archers,Magnigoth Sentry,identical_text
Magnigoth Sentry,Mammoth Spider,identical_text
Mammoth Spider,Needleshot Gourna,identical_text
Needleshot Gourna,Nimble Birdsticker,identical_text
Nimble Birdsticker,Norwood Archers,identical_text
Norwood Archers,Plated Spider,identical_text
Plated Spider,Rib Cage Spider,identical_text
Rib Cage Spider,Skyraker Giant,identical_text
Skyraker Giant,Towering Indrik,identical_text
Towering Indrik,Tree Monkey,identical_text
Deadly Recluse,Kessig Recluse,identical_text
Kessig Recluse,Thornweald Archer,identical_text
Sagu Archer,Spitting Gourna,identical_text
High-Rise Sawjack,Netcaster Spider,identical_text
Giant Ladybug,Spider-Bot,identical_text
Cogwork Archivist,Jade-Cast Sentinel,identical_text
Jade-Cast Sentinel,Phyrexian Archivist,identical_text
Death Ward,Mending Touch,identical_text
Argivian Restoration,Refurbish,identical_text
Reconstruction,Ritual of Restoration,identical_text
Auroral Procession,Bala Ged Recovery // Bala Ged Sanctuary,identical_text
Bala Ged Recovery // Bala Ged Sanctuary,Elven Cache,identical_text
Elven Cache,Recollect,identical_text
Recollect,Regrowth,identical_text
Breath of Life,False Defeat,identical_text
False Defeat,Resurrection,identical_text
Resurrection,Rise Again,identical_text
Rise Again,Zombify,identical_text
Disentomb,Raise Dead,identical_text
Raise Dead,Return to Battle,identical_text
