keep,card_a,card_b,shared_tag,oracle_id_a,oracle_id_b
,Dark Intimations,Hour of Devastation,synergy-pw-bolas (n=4),228cb63f-0b93-4be5-94e5-4eaae9112eeb,b9ea0d4c-cd71-4817-8213-96899e1a14bb
,Sword of Kaldra,Godsend,exiletouch (n=4),35f63c60-b0a1-459d-bf51-a8549fb06930,dd91f4f2-ea46-48c5-8a80-0dc4ae5b79c4
,Petrahydrox,Mirozel,rescue (n=4),545c516f-85a4-4a59-8cfa-03da27121a57,c35111ce-4325-4547-b954-08275a268060
,Spider-Man 2099,Serra Avenger,turns-taken-matter (n=4),19845456-3d96-48a4-89fa-9b8e583774c9,b91b65b3-b35c-460e-a49b-333000a9a519
,"Storm, Force of Nature",Crackling Spellslinger,gives-storm (n=4),7c47876d-143f-4e4c-b151-90c099e452a1,ed7ba558-5341-4c7b-a9c5-b382dee88a13
,Scarecrone,"Desdemona, Freedom's Edge",reanimate-artifact-creature (n=4),f45716dc-c613-4b14-865d-419395fb02f6,fd06d110-417c-42f5-a7b2-fd032f631dd2
,Gideon's Company,Companion of the Trials,synergy-pw-gideon (n=4),083dcc19-3357-48e4-94e8-8da5bbfba210,3aa654cb-c0a0-48e7-901a-c690120b1510
,Liliana's Scrounger,Arisen Gorgon,synergy-pw-liliana (n=4),595f1dee-8c3b-44a6-9e71-a4bb4334b309,69858691-1190-4454-af0a-87c2ac4ab6ec
,Liliana's Scrounger,Desiccated Naga,synergy-pw-liliana (n=4),595f1dee-8c3b-44a6-9e71-a4bb4334b309,ab172e3e-e71e-4627-9b9a-a9295b891533
,Arisen Gorgon,Desiccated Naga,synergy-pw-liliana (n=4),69858691-1190-4454-af0a-87c2ac4ab6ec,ab172e3e-e71e-4627-9b9a-a9295b891533
,Sliver Gravemother,Graywater's Fixer,gives-encore (n=4),0d59f010-9669-4ad2-9ae9-cd88b85f282c,93438939-3909-4e59-bfe4-760ec73eb57d
,Sliver Gravemother,Wire Surgeons,gives-encore (n=4),0d59f010-9669-4ad2-9ae9-cd88b85f282c,c51078d9-a53a-49ae-9658-2bc00cce2b81
,Araumi of the Dead Tide,Graywater's Fixer,gives-encore (n=4),1a62ba93-153c-4bed-9f6a-ff914df360c1,93438939-3909-4e59-bfe4-760ec73eb57d
,Urban Retreat,Talon Gates of Madara,sneak-self (n=4),18290c4b-cff6-4ee5-a487-fe0d5706d3de,8c45bf9d-a017-43bf-9e32-67810a8a217b
,Walking Sponge,Archetype of Aggression,removes-trample (n=4),000e5d65-96c3-498b-bd01-72b1a1991850,263408e6-b315-4af5-8cb8-3fd1aa88e48c
,Entangling Trap,Sylvan Echoes,synergy-clash (n=4),229b1e23-8e91-46e8-b0c3-1c5b2c9411da,6d19e2bb-2e5f-4e55-bb86-de01ea35263d
,Shambling Swarm,Blood Hound,temporary-counter (n=4),7807122e-917f-4a79-876e-d1c10f7a38ed,ace532a3-fa6e-479d-b169-1fb24c3d0f8c
,Shambling Swarm,Discordant Spirit,temporary-counter (n=4),7807122e-917f-4a79-876e-d1c10f7a38ed,ce785306-eaf5-42b3-9840-884cd690ae0a
,Blood Hound,Discordant Spirit,temporary-counter (n=4),ace532a3-fa6e-479d-b169-1fb24c3d0f8c,ce785306-eaf5-42b3-9840-884cd690ae0a
,Krovikan Sorcerer,Fa'adiyah Seer,discard-outlet-last-drawn (n=4),00e6808c-1f9e-4b6a-807c-83f433b81a41,8ba2f559-f9bd-48ef-9fef-6dffe768f4ed
,Krovikan Sorcerer,Sindbad,discard-outlet-last-drawn (n=4),00e6808c-1f9e-4b6a-807c-83f433b81a41,dc81069b-b2cf-44b3-98fc-45bb24b815cb
,Fa'adiyah Seer,Sindbad,discard-outlet-last-drawn (n=4),8ba2f559-f9bd-48ef-9fef-6dffe768f4ed,dc81069b-b2cf-44b3-98fc-45bb24b815cb
,Mindstatic,Convolute,mana-leak-series (n=4),880e0177-f1d2-4bdc-83b4-cae6a0706ef9,cd201ded-cfaf-4a51-9fcc-6a61b3c910b0
,Mana Leak,Convolute,mana-leak-series (n=4),c61fe162-2202-4e56-9ba0-393547f9875f,cd201ded-cfaf-4a51-9fcc-6a61b3c910b0
,Mana Leak,Spell Pierce,mana-leak-series (n=4),c61fe162-2202-4e56-9ba0-393547f9875f,d64b0848-0193-4025-ba62-63ecd8fb9f50
,"Nahiri, Forged in Fury",Oxidda Finisher,affinity-for-equipment (n=4),87966759-206a-4a2d-bf78-86f727c29972,f308a1de-94a6-4f9f-8f46-6f2018959b40
,Homing Sliver,Jo Grant,gives-cycling (n=4),34b4d137-780b-446c-8cdd-fd1673180971,65ea3638-1766-4096-88a8-662a0d6faf0c
,Homing Sliver,Rhet-Tomb Mystic,gives-cycling (n=4),34b4d137-780b-446c-8cdd-fd1673180971,e445825a-e70e-4796-99be-4a7c4080b8cc
,Jo Grant,Rhet-Tomb Mystic,gives-cycling (n=4),65ea3638-1766-4096-88a8-662a0d6faf0c,e445825a-e70e-4796-99be-4a7c4080b8cc
,Urborg,Hammerheim,removes-landwalk (n=4),b6114962-035e-4e7f-9009-4739bf83a05a,c7476beb-7923-4994-8476-bc69187ecb72
,Stranglehold,Trouble in Pairs,prevent-extra-turns (n=4),b66c6e3a-daed-43a3-95d6-4f9d6223bbf1,f349f58b-8cc8-45e4-9565-2b46fdf976c9
,Virulent Sliver,"Fynn, the Fangbearer",gives-poisonous (n=4),767c896d-4ff6-4cd4-b3a4-80179e84e1cd,c0b1fba1-4338-4671-934b-098689ad2085
,Virulent Silencer,"Fynn, the Fangbearer",gives-poisonous (n=4),7d70a2f4-92cb-40c3-9e5a-f6c57d4a64c2,c0b1fba1-4338-4671-934b-098689ad2085
,Traveling Plague,Parasitic Bond,pseudo-curse (n=4),371e8e29-f569-4b23-bae4-cf89e5b09fd3,9d973df5-b2e8-4af8-8379-0f8282e1e62a
,Parasitic Bond,Stab Wound,pseudo-curse (n=4),9d973df5-b2e8-4af8-8379-0f8282e1e62a,aad212b2-57ba-4e70-869b-636842eb7a88
,Stab Wound,Morgul-Knife Wound,pseudo-curse (n=4),aad212b2-57ba-4e70-869b-636842eb7a88,f48b2349-797e-4e79-aea7-2413e78129e1
,Trenchpost,Glimmerpost,synergy-locus (n=4),42f1ccb8-eda0-4828-ac07-82d4e950d7e1,92c9aad6-35ec-425d-be7d-393328992820
,Trenchpost,Cloudpost,synergy-locus (n=4),42f1ccb8-eda0-4828-ac07-82d4e950d7e1,f705c0eb-9c6c-4315-a860-208ed0c5d93e
,Glimmerpost,Cloudpost,synergy-locus (n=4),92c9aad6-35ec-425d-be7d-393328992820,f705c0eb-9c6c-4315-a860-208ed0c5d93e
,Stock Up,Recross the Paths,bottom-deck-manipulation (n=4),2251e34e-4ce8-4452-9dc6-d8cce8583996,2c132e6f-2e9e-4b39-81a8-f88c32173cd5
,Air Bladder,Dense Canopy,gives-high-flying (n=4),25c8a3b0-c393-4fc6-a373-808cd8e9850c,d182ab7d-77bd-49d1-9001-9b4016350181
,Air Bladder,Stratus Walk,gives-high-flying (n=4),25c8a3b0-c393-4fc6-a373-808cd8e9850c,eda37caa-d676-460a-804b-3ba9d8a8d044
,Dense Canopy,Chaosphere,gives-high-flying (n=4),d182ab7d-77bd-49d1-9001-9b4016350181,ed01d5d7-8f34-47b3-9ca8-d82c242d38b4
,Dense Canopy,Stratus Walk,gives-high-flying (n=4),d182ab7d-77bd-49d1-9001-9b4016350181,eda37caa-d676-460a-804b-3ba9d8a8d044
,Chaosphere,Stratus Walk,gives-high-flying (n=4),ed01d5d7-8f34-47b3-9ca8-d82c242d38b4,eda37caa-d676-460a-804b-3ba9d8a8d044
,Dormant Sliver,Sliver Overlord,hate-typal-sliver (n=4),2bc3d5b2-076f-4e01-87be-28d7eb70a2db,762d864b-69bc-43ac-af2f-e18186010169
,Dormant Sliver,Plague Sliver,hate-typal-sliver (n=4),2bc3d5b2-076f-4e01-87be-28d7eb70a2db,ee10dc06-26e1-4f50-a0a6-6d039e71b75f
,Sliver Overlord,Plague Sliver,hate-typal-sliver (n=4),762d864b-69bc-43ac-af2f-e18186010169,ee10dc06-26e1-4f50-a0a6-6d039e71b75f
,"Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time","Taigam, Ojutai Master",gives-rebound (n=4),34ef174e-1b3d-43d5-9f72-3d35befbdd7f,e4cf3710-8600-4f95-abb2-faefdc25693d
,Dread Presence,Veilborn Ghoul,swampfall (n=4),1690a782-9e54-4231-9a72-abae5ed7050c,8381b04a-666b-4e33-b277-6db39fdfe905
,Veilborn Ghoul,Guul Draz Overseer,swampfall (n=4),8381b04a-666b-4e33-b277-6db39fdfe905,9eff1ce5-41e4-4ae6-9480-2b549c8546bd
,Drannith Magistrate,Ghostly Pilferer,hate-nonhand-cast (n=4),aadd10d0-6dd0-4bdc-8d93-ff08e29a5863,fe168bf1-f626-460c-890b-1ce758af01fc
,Widespread Panic,Psychic Surgery,hate-shuffle (n=4),853a3c2b-3d37-453a-8a77-4d90bd3a1cb7,e5128230-3535-4f77-8b97-20d0791e7b1d
,Ivory Mask,Solitary Confinement,gives-player-shroud (n=4),028bc726-0e86-4c53-9648-625153ae4b01,d41ab41d-07c8-4f6d-be5e-7aec9f5f6365
,Stonework Packbeast,Tajuru Paragon,multiclass-party-member (n=4),782c47c5-b108-415c-9b70-a033ac52956f,b03a9d03-4853-4856-8cfa-ad4085e0e3e3
,Static Orb,Winter Orb,deprecated-untapped-artifact (n=4),0004ebd0-dfd6-4276-b4a6-de0003e94237,1dcbd583-3388-4b34-a7cd-131648aa6abd
,Static Orb,Howling Mine,deprecated-untapped-artifact (n=4),0004ebd0-dfd6-4276-b4a6-de0003e94237,d26b27db-a567-4631-b4b6-7294222fbdd1
,Winter Orb,Howling Mine,deprecated-untapped-artifact (n=4),1dcbd583-3388-4b34-a7cd-131648aa6abd,d26b27db-a567-4631-b4b6-7294222fbdd1
,The Wandering Emperor,"Teferi, Master of Time",instant-loyalty-ability (n=4),0c7f18d5-36cb-4bc6-a358-443b97666215,e802fb53-7cf5-46bc-8a0b-f99cf5c20f74
,Will Kenrith,"Tezzeret, Master of the Bridge",cost-reducer-planeswalker (n=4),20dbfc9a-172e-4065-bfde-d40de3131787,d097991c-41df-47de-a439-57a0693b9581
,Storm Fleet Negotiator,Sentinel of the Nameless City,repeatable-maps (n=4),60cb885c-5cd3-4963-8a6a-cebf07cc61b5,a5bbfe32-2fb9-48a0-bc8a-e9899aac1fda
,Goblin Matron,Moggcatcher,tutor-creature-goblin (n=4),145737a7-c597-4dec-b752-207c2d0501e3,4845dc21-7534-4896-b298-4d44cd7a3b27
,Goblin Matron,Boggart Harbinger,tutor-creature-goblin (n=4),145737a7-c597-4dec-b752-207c2d0501e3,56508ae7-6013-4149-8935-96b8d5091baa
,Goblin Matron,Goblin Recruiter,tutor-creature-goblin (n=4),145737a7-c597-4dec-b752-207c2d0501e3,792e1072-00bf-4f63-b956-5f20cdf09f11
,Moggcatcher,Boggart Harbinger,tutor-creature-goblin (n=4),4845dc21-7534-4896-b298-4d44cd7a3b27,56508ae7-6013-4149-8935-96b8d5091baa
,Boggart Harbinger,Goblin Recruiter,tutor-creature-goblin (n=4),56508ae7-6013-4149-8935-96b8d5091baa,792e1072-00bf-4f63-b956-5f20cdf09f11
,Orcish Captain,East-Mark Cavalier,hate-typal-orc (n=4),76c06de7-39ff-4b80-8e54-20910372cffd,884d08bf-7e97-40cc-864e-445ae0bd1646
,Orcish Captain,Dwarven Soldier,hate-typal-orc (n=4),76c06de7-39ff-4b80-8e54-20910372cffd,88f9075c-ea96-4f8d-b0d1-e5e244e824c1
,East-Mark Cavalier,Dwarven Soldier,hate-typal-orc (n=4),884d08bf-7e97-40cc-864e-445ae0bd1646,88f9075c-ea96-4f8d-b0d1-e5e244e824c1
,Fortified Beachhead,Cryptic Spires,dual-land (n=4),387fe395-e4a0-4fb2-8d6c-88a1a21d2ed8,6d6a25fb-0432-4c7d-b0e6-e787ddc71218
,Fortified Beachhead,"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",dual-land (n=4),387fe395-e4a0-4fb2-8d6c-88a1a21d2ed8,8b84fec5-617c-4088-8250-2ba1f1f9479a
,Fortified Beachhead,Mount Doom,dual-land (n=4),387fe395-e4a0-4fb2-8d6c-88a1a21d2ed8,995c8dac-fd27-468a-abd4-02372cf0c850
,Cryptic Spires,"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",dual-land (n=4),6d6a25fb-0432-4c7d-b0e6-e787ddc71218,8b84fec5-617c-4088-8250-2ba1f1f9479a
,Cryptic Spires,Mount Doom,dual-land (n=4),6d6a25fb-0432-4c7d-b0e6-e787ddc71218,995c8dac-fd27-468a-abd4-02372cf0c850
,"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",Mount Doom,dual-land (n=4),8b84fec5-617c-4088-8250-2ba1f1f9479a,995c8dac-fd27-468a-abd4-02372cf0c850
,Amrou Seekers,Skirk Shaman,pseudo-intimidate (n=4),396efb56-7a54-4d91-b2ce-7f3c62c3238b,78d5ce34-f160-4925-a4ce-25a3546d97c7
,Cosmium Confluence,Rootcast Apprenticeship,confluence (n=4),798aaf78-16d9-474b-a963-f5e9c39aae6e,ffe13100-99dd-41e3-82ba-eaead6fd0113
,Samwise Gamgee,"Elena, Turk Recruit",regrowth-historic (n=4),7ce37c26-91ea-493f-bfc3-a890d4538bc1,f5b6835b-7ebe-4855-8b3e-bffb74fd50ee
,Layla Hassan,"Elena, Turk Recruit",regrowth-historic (n=4),e27feb69-3120-4e8d-8ee6-0f87b58e2ae3,f5b6835b-7ebe-4855-8b3e-bffb74fd50ee
,Tempest Efreet,Timmerian Fiends,theft-ownership (n=4),272016e1-df1e-4376-9851-af8b1ecba2f4,2d2fab27-8793-4212-a512-c4f0c8c55eeb
,Forerunner of the Empire,"Huatli, Poet of Unity // Roar of the Fifth People",tutor-creature-dinosaur (n=4),113c3024-c3bd-4c3a-8c08-3828646d9ca2,2e6ed3e6-d2b8-4b75-b7e1-0773da4987a1
,Ian Chesterton,Hatchery Sliver,gives-replicate (n=4),32c9ce8c-a19d-49e4-bc6d-c7182fa00b51,6227fb65-d7ef-4bc6-a076-9aa10941632c
,"Razaketh, the Foulblooded",Griselbrand,liliana-s-pact-demon (n=4),136c9ecb-59b4-4ef6-bcb2-7b8d3df3ee75,f759d112-76db-4091-a22b-b9f19ab6fa5f
,Demonlord Belzenlok,"Kothophed, Soul Hoarder",liliana-s-pact-demon (n=4),667ece0e-a474-4e11-8ac4-6c8fc354457c,85e1791f-f9a0-4e82-baf6-33cff2dcf60b
,Fleshgrafter,Sanctum Spirit,discard-outlet-artifact (n=4),04b1fb9e-4aef-46d9-b163-f9beff198bad,1e640846-8f50-4a94-b7aa-f228124290d3
,Fleshgrafter,Neurok Prodigy,discard-outlet-artifact (n=4),04b1fb9e-4aef-46d9-b163-f9beff198bad,910860ce-d617-48c1-b44d-b1d95cdd006f
,Sanctum Spirit,Neurok Prodigy,discard-outlet-artifact (n=4),1e640846-8f50-4a94-b7aa-f228124290d3,910860ce-d617-48c1-b44d-b1d95cdd006f
,Will of the Jeskai,Step Between Worlds,wheel-symmetrical-optional (n=4),2c3e6377-d09c-46b6-8a83-ada4a2930b14,48b43d53-9a8a-47a2-8610-a54d276d7be7
,Will of the Jeskai,Snort,wheel-symmetrical-optional (n=4),2c3e6377-d09c-46b6-8a83-ada4a2930b14,ab94985c-5a3e-42c7-be10-29c5b638346b
,Step Between Worlds,Snort,wheel-symmetrical-optional (n=4),48b43d53-9a8a-47a2-8610-a54d276d7be7,ab94985c-5a3e-42c7-be10-29c5b638346b
,Courageous Outrider,"Winota, Joiner of Forces",impulse-creature-human (n=4),00915480-ffa8-4930-a158-b1c1f75b7876,02598a35-1b11-4abe-89cd-fc44c8c36c15
,Courageous Outrider,"Sigarda, Champion of Light",impulse-creature-human (n=4),00915480-ffa8-4930-a158-b1c1f75b7876,24919141-82d2-42ad-963c-e53511a868b3
,Courageous Outrider,"Boromir, Gondor's Hope",impulse-creature-human (n=4),00915480-ffa8-4930-a158-b1c1f75b7876,5bb5e4e5-c3b4-4f67-83e1-bde9ce9f18c4
,"Winota, Joiner of Forces","Sigarda, Champion of Light",impulse-creature-human (n=4),02598a35-1b11-4abe-89cd-fc44c8c36c15,24919141-82d2-42ad-963c-e53511a868b3
,"Winota, Joiner of Forces","Boromir, Gondor's Hope",impulse-creature-human (n=4),02598a35-1b11-4abe-89cd-fc44c8c36c15,5bb5e4e5-c3b4-4f67-83e1-bde9ce9f18c4
,"Sigarda, Champion of Light","Boromir, Gondor's Hope",impulse-creature-human (n=4),24919141-82d2-42ad-963c-e53511a868b3,5bb5e4e5-c3b4-4f67-83e1-bde9ce9f18c4
,"Sigrid, God-Favored","Kratos, Stoic Father",hate-typal-god (n=4),84d37104-2681-42c1-9d19-91a2ebe6a435,c000d5c3-5b0c-4c5c-9919-76640da0a1e4
,Savior of Ollenbock,Gravegouger,banish-graveyard (n=4),1857dc32-8ff1-4519-b1ca-480a5c2d3b3c,2677c0d9-1251-478e-b157-072859c593a9
,Deadeye Quartermaster,"Caradora, Heart of Alacria",tutor-artifact-vehicle (n=4),40abba38-533b-4f51-99e9-a2b337d65171,a9d60d80-bcef-45e0-8ded-d70bd3c2780f
,Elvish Harbinger,Skyshroud Poacher,tutor-creature-elf (n=4),28ddc23c-5b0b-4747-9a33-6845acf27bec,4f5921c1-b932-4d6b-bb8e-01992578abdc
,Elvish Harbinger,Wirewood Herald,tutor-creature-elf (n=4),28ddc23c-5b0b-4747-9a33-6845acf27bec,7a838374-fc40-4fb6-9d38-a96f01e7038a
,Wirewood Savage,Riptide Biologist,hate-typal-beast (n=4),45579312-499f-41de-b16e-a231d65a2053,fe378f26-5c80-4548-8127-10724ac0c452
,Frenetic Raptor,Totem Speaker,hate-typal-beast (n=4),4b875669-f5c4-4f52-95be-ac52b0e33ce1,61aa0e56-e8d9-4223-895f-e54cdc5a3f0f
,Crown of Suspicion,Faces of the Past,hate-typal-share (n=4),6586f8d1-196d-42a4-816f-629d432ece2f,c8cd2b52-6d32-413f-9b26-2f9d436dbeae
,Imperial Recovery Unit,Carrion Cruiser,regrowth-vehicle (n=4),18ad0dd1-2d0e-46b4-8ab1-ece07180267f,98a61659-9882-417c-9c16-16ebb26f9037
,Cairn Wanderer,Archetype of Finality,hate-deathtouch (n=4),a549d54f-2640-455c-8a93-bef4df2f9e8b,eb4e9ce9-1917-46b1-b01c-645f5920ef9c
,Reservoir Kraken,Shakedown Heavy,shakedown (n=4),42e4d4d8-e4e0-4cf8-a6d0-887a17513280,77b24f10-93af-44b9-af78-3a2f5ab32251
,Reservoir Kraken,Clackbridge Troll,shakedown (n=4),42e4d4d8-e4e0-4cf8-a6d0-887a17513280,9c2f25af-0b16-488d-9249-026a84bdb27f
,Reservoir Kraken,Desecration Demon,shakedown (n=4),42e4d4d8-e4e0-4cf8-a6d0-887a17513280,ef75be00-1a88-47a1-a1ae-fe2c9881a798
,Shakedown Heavy,Desecration Demon,shakedown (n=4),77b24f10-93af-44b9-af78-3a2f5ab32251,ef75be00-1a88-47a1-a1ae-fe2c9881a798
,Clackbridge Troll,Desecration Demon,shakedown (n=4),9c2f25af-0b16-488d-9249-026a84bdb27f,ef75be00-1a88-47a1-a1ae-fe2c9881a798
,Trip Wire,Borrowing the East Wind,hate-horsemanship (n=4),5751df7a-aa9a-4a27-b7ab-445ec4bcbdee,79334732-8db1-4393-9fed-3cde3c572c5c
,"Zuo Ci, the Mocking Sage",Taoist Mystic,hate-horsemanship (n=4),ae8773a3-05f2-4074-9a53-033b0c127235,e705ec38-b8f7-4f99-8cb9-8448dc3e50ec
,Avacynian Priest,Sigardian Priest,hate-typal-non-human (n=4),df7e296d-96de-4280-a4d8-49189544b9e3,f2e22c9d-b0ec-42bb-a520-3c36df546ba0
,Masterwork of Ingenuity,Bloodthirsty Blade,equipless-equipment (n=4),35d458fb-dfdb-41e4-92e3-f0fd392e1c69,b2747459-05ec-42a6-81be-e97e182bc778
,The Aetherspark,Cryptic Coat,equipless-equipment (n=4),483c747a-b602-4747-95bc-72c2c17ed509,73b8adea-1786-44fc-b190-bf240b07f5b6
,Cryptic Coat,Bloodthirsty Blade,equipless-equipment (n=4),73b8adea-1786-44fc-b190-bf240b07f5b6,b2747459-05ec-42a6-81be-e97e182bc778
,Glowcap Lantern,Lens of Clarity,precognition (n=4),2034d41b-5e77-49a6-884e-d3a6017f84d0,7df50107-25d8-47dc-9a13-27b257cfbf6f
,Voidwing Hybrid,"Venser, Corpse Puppet",synergy-proliferate (n=5),0dab592c-a230-408d-a383-044e561dbe5d,17c934a7-3480-4309-a217-ca2550538ae7
,Voidwing Hybrid,Scheming Aspirant,synergy-proliferate (n=5),0dab592c-a230-408d-a383-044e561dbe5d,cf4a3b1a-4b87-473e-be1f-3aa3da45c28e
,"Venser, Corpse Puppet",Scheming Aspirant,synergy-proliferate (n=5),17c934a7-3480-4309-a217-ca2550538ae7,cf4a3b1a-4b87-473e-be1f-3aa3da45c28e
,"Tekuthal, Inquiry Dominus","Ezuri, Stalker of Spheres",synergy-proliferate (n=5),4716ab91-30e6-4c63-8389-a9db8f9414d8,cffec16f-373b-43e7-a04c-4452987d7e02
,Phantasmal Forces,Phantasmal Fiend,creature-type-phantasm (n=5),06a158c6-7e36-49f8-a8e0-a7b7df5fd7ed,821ce349-5379-4415-89e2-224e21dda24b
,Phantasmal Forces,Phantom Monster,creature-type-phantasm (n=5),06a158c6-7e36-49f8-a8e0-a7b7df5fd7ed,bbd30183-524c-4b93-b953-90853ec3f39f
,Phantasmal Sphere,Phantasmal Mount,creature-type-phantasm (n=5),4230c7a3-4591-411e-afab-d2bfb58446de,8c7723a5-04c7-4241-b0ba-6a821449ca43
,Phantasmal Fiend,Phantom Monster,creature-type-phantasm (n=5),821ce349-5379-4415-89e2-224e21dda24b,bbd30183-524c-4b93-b953-90853ec3f39f
,Deathmark Prelate,Noxious Ghoul,hate-typal-non-zombie (n=5),3162e0b4-1348-4c86-8da7-ae23ff968c57,602e421e-afab-4488-8a52-af66b4fdce4b
,Clutch of Undeath,Call to the Grave,hate-typal-non-zombie (n=5),5a68c925-db79-44f2-a5c1-5a607298f6cf,db5a4c25-5ae5-4a04-be79-bdee39b9152c
,"Greensleeves, Maro-Sorcerer",Nameless One,hate-typal-wizard (n=5),2ac2d483-2d2a-4912-8db4-04a5a2080831,bd8d0498-53f9-484c-a59a-78daca468859
,"Sokka, Tenacious Tactician","Bria, Riptide Rogue",gives-prowess (n=5),6b68acc2-b9d5-495b-8054-c04bae1349f1,d627996b-cbcd-4162-bd13-9ab286de64d1
,"Sokka, Tenacious Tactician","Narset, Enlightened Exile",gives-prowess (n=5),6b68acc2-b9d5-495b-8054-c04bae1349f1,d92725de-ead0-4a6c-83db-55ec3acc7184
,"Bria, Riptide Rogue","Narset, Enlightened Exile",gives-prowess (n=5),d627996b-cbcd-4162-bd13-9ab286de64d1,d92725de-ead0-4a6c-83db-55ec3acc7184
,Wandering Mind,Fallaji Archaeologist,impulse-battle (n=5),0fa886c2-9b58-4368-b2d0-e619c62a554f,bf037457-82e3-45fd-bc17-5bc25e66c15e
,Wandering Mind,Thundertrap Trainer,impulse-battle (n=5),0fa886c2-9b58-4368-b2d0-e619c62a554f,d0be5969-0442-4557-a5fc-bee56e1835c2
,Fallaji Archaeologist,Thundertrap Trainer,impulse-battle (n=5),bf037457-82e3-45fd-bc17-5bc25e66c15e,d0be5969-0442-4557-a5fc-bee56e1835c2
,"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",Sneaky Snacker,third-draw-matters (n=5),1ed9e351-0000-4b75-8ecb-d15bd88df68a,f255492e-4e12-48b4-9c19-8a2a2780a1b7
,The Golden Throne,Lich's Mirror,save-from-death (n=5),a68f41a2-37ee-46e1-bf3c-164c78b003ca,e81da4a7-4b03-4107-b7d9-4b635faa615d
,Chomping Kavu,Mournwillow,gives-daunt (n=5),20a362c3-d278-437f-881c-e7d9fe78fc2d,742f6478-7c9e-43a4-81c1-09383fe65dad
,Chomping Kavu,"Bright-Palm, Soul Awakener",gives-daunt (n=5),20a362c3-d278-437f-881c-e7d9fe78fc2d,f74888ee-5086-49a6-ae74-fd9894f46332
,Mournwillow,"Bright-Palm, Soul Awakener",gives-daunt (n=5),742f6478-7c9e-43a4-81c1-09383fe65dad,f74888ee-5086-49a6-ae74-fd9894f46332
,"Arnyn, Deathbloom Botanist","Squall, Gunblade Duelist",specific-toughness-matters (n=5),3debd5c7-da3c-4130-8ed9-e156e10034b6,880c2b0a-b708-4f11-a88a-ec990c904602
,"Arnyn, Deathbloom Botanist","Talion, the Kindly Lord",specific-toughness-matters (n=5),3debd5c7-da3c-4130-8ed9-e156e10034b6,a019e34d-00c4-4687-9d41-fe550bf1dbdc
,"Duskana, the Rage Mother","Talion, the Kindly Lord",specific-toughness-matters (n=5),68d97ebb-63f8-4795-bddb-03582e13b34d,a019e34d-00c4-4687-9d41-fe550bf1dbdc
,"Squall, Gunblade Duelist","Talion, the Kindly Lord",specific-toughness-matters (n=5),880c2b0a-b708-4f11-a88a-ec990c904602,a019e34d-00c4-4687-9d41-fe550bf1dbdc
,"Indominus Rex, Alpha","Kathril, Aspect Warper",double-strike-counter (n=5),723a66c3-2c2c-411c-bba5-922e8601981b,730897a9-3ead-4990-9492-1a2040d8ccac
,Wargate,Mimeofacture,tutor-permanent (n=5),26f39abe-ea0b-400d-b11c-03ee4cf50915,79b978b8-44c8-4ca8-bdd5-10490145398d
,Velukan Dragon,Arden Angel,digital-to-paper (n=5),667aef37-a47a-4593-a252-807c02416863,82d51c8a-d42b-48b3-a726-3a8d28d057e5
,Goblin Gang Leader,Mardu Outrider,digital-to-paper (n=5),79d99305-b3dd-4687-af69-bf4b28704aae,9bc5ed59-ae13-40df-94b9-c56c32673857
,"Tamiyo, Compleated Sage","Ajani, Sleeper Agent",unique-mana-symbol (n=5),021b4745-4a15-462c-a6b0-2dee1dc9d196,37714eb9-a39d-4534-a2d3-27908c418f8a
,"Tamiyo, Compleated Sage","Lukka, Bound to Ruin",unique-mana-symbol (n=5),021b4745-4a15-462c-a6b0-2dee1dc9d196,8e68eba1-65ac-4c03-956f-45e7b5695e2a
,"Tamiyo, Compleated Sage","Nahiri, the Unforgiving",unique-mana-symbol (n=5),021b4745-4a15-462c-a6b0-2dee1dc9d196,d71d42e0-cd56-4f53-95ff-ecab7f8c6552
,"Ajani, Sleeper Agent","Lukka, Bound to Ruin",unique-mana-symbol (n=5),37714eb9-a39d-4534-a2d3-27908c418f8a,8e68eba1-65ac-4c03-956f-45e7b5695e2a
,"Ajani, Sleeper Agent","Nahiri, the Unforgiving",unique-mana-symbol (n=5),37714eb9-a39d-4534-a2d3-27908c418f8a,d71d42e0-cd56-4f53-95ff-ecab7f8c6552
,"Lukka, Bound to Ruin","Nahiri, the Unforgiving",unique-mana-symbol (n=5),8e68eba1-65ac-4c03-956f-45e7b5695e2a,d71d42e0-cd56-4f53-95ff-ecab7f8c6552
,Sideswipe,Hisoka's Defiance,hate-arcane (n=5),07180afc-5c63-42e0-907b-0ed52f777165,2ac6f1c7-f4c5-4d45-9644-da49d8fe4758
,"Ishi-Ishi, Akki Crackshot",Kitsune Riftwalker,hate-arcane (n=5),30265fce-28e6-4994-83f7-0e4c4b22df35,87e44296-6c79-4065-aa54-33e508293a79
,Archivist of Oghma,Opposition Agent,tutor-interaction (n=5),08b13e1f-27ca-40a8-b5ed-88ac933d24bf,1f438b8f-fe23-4f3b-ab2e-f6c33676c462
,Archivist of Oghma,River Song,tutor-interaction (n=5),08b13e1f-27ca-40a8-b5ed-88ac933d24bf,418ecbb7-b809-4639-a531-070b58b5b85e
